Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance,Georeference
24-64GJB-CR,FLORENCE CONSTRUCTION CORPORATION,NO DBA,Corporation,Yes,No,None Listed,80 LK AVE SOUTH,UNIT 10,NESCONSET,NY,11767,6315844460,12/24/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.15491 40.85591)
24-64YPQ-CR,FLOW ASSESSMENT SERVICES LLC,NO DBA,LLC,No,No,None Listed,72 PRISCILLA LN,NOT APPLICABLE,AUBURN,NH,03032,6036569799,12/12/2024,12/29/2026,Active,No,Out of State,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-71.35463 42.9569)
24-648UC-CR,FLOWBIRD AMERICA INC,NO DBA,Corporation,No,No,None Listed,40 TWOSOME DR,SUITE 7,MOORESTOWN,NJ,08057,8562348000,12/27/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.97881 39.97672)
24-63Z18-CR,FLOWER CITY COMMUNICATIONS INC,FLOWER CITY COMMUNICATIONS  SECURITY,Corporation,No,No,None Listed,1848 LYELL AVE,NOT APPLICABLE,ROCHESTER,NY,14606,5854585350,11/20/2024,12/29/2026,Active,No,Other,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.67539 43.16529)
25-64ZKY-CR,FLOWER CITY ELECTRIC LLC,WESTCOTT ELECTRIC,LLC,No,No,None Listed,88 CORTLAND ST,NOT APPLICABLE,NORWICH,NY,13815,6073345510,2/10/2025,2/10/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.53346 42.53408)
24-634IX-CR,FLOWER CITY GLASS CO OF NEW YORK LLC,NO DBA,LLC,No,No,None Listed,188 MT HOPE AVE,NOT APPLICABLE,ROCHESTER,NY,14620,5855468646,12/2/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,Yes,No,Yes,No,POINT (-77.60925 43.14592)
25-64VEU-CR,FLOWER CITY TREE LLC,FLOWER CITY TREE,Corporation,No,No,None Listed,610 MILLSTEAD WAY,NOT APPLICABLE,ROCHESTER,NY,14624,5852058213,1/7/2025,1/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.67844 43.11122)
25-64AOH-CR,FLUSH KING CESSPOOL INC,NO DBA,Corporation,No,No,None Listed,PO BOX 569,NOT APPLICABLE,EAST NORTHPORT,NY,11731,6313680332,2/13/2025,2/13/2027,Active,No,Other,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-64FAL-CR,FLYNN ELECTRIC INC,MONUMENT ELECTRIC,Corporation,No,No,None Listed,PO BOX 968,NOT APPLICABLE,BENNINGTON,VT,05201,8024470784,12/23/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-648JR-CR,FMB INC,NO DBA,Corporation,No,No,None Listed,70 SUPOR BLVD,NOT APPLICABLE,HARRISON,NJ,07029,9734855544,12/27/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.14782 40.74728)
24-64Y4I-CR,FM GENERATOR INC,FM GENERATOR INC,Corporation,No,No,None Listed,PO BOX 528,NOT APPLICABLE,CANTON,MA,02021,7818280016,12/13/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-635TT-CR,FMG SITE DEVELOPMENT CORP,FMG SITE DEVELOPMENT CORP,Corporation,Yes,No,None Listed,PO BOX 179,NOT APPLICABLE,LARCHMONT,NY,10538,3474176407,12/4/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-6343R-CR,FOLEY INCORPORATED,NO DBA,Corporation,No,No,None Listed,855 CENTENNIAL AVE,NOT APPLICABLE,PISCATAWAY,NJ,08854,7328855555,12/2/2024,12/29/2026,Active,No,Out of State,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,No,Yes,No,POINT (-74.48769 40.54999)
24-64GPQ-CR,FOODCO DISTRIBUTORS INC,NO DBA,Corporation,No,No,None Listed,3512 QUENTIN RD,STE 204,BROOKLYN,NY,11234,7182478432,12/24/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.93701 40.6145)
24-63H7E-CR,FOOS FIRE INC,NO DBA,Corporation,Yes,No,None Listed,909 MARCONI AVE,NOT APPLICABLE,RONKONKOMA,NY,11779,6316896869,12/6/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.11292 40.79705)
24-637LR-CR,FORCE READY REMEDIATION LLC,NO DBA,LLC,Yes,No,None Listed,2248 BROADWAY,1027,NEW YORK,NY,10024,6468384925,12/9/2024,12/29/2026,Active,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.97913 40.78485)
25-641HZ-CR,FORD AUDIOVIDEO SYSTEMS LLC,NO DBA,LLC,No,No,None Listed,4800 W I40 SERVICE RD,NOT APPLICABLE,OKLAHOMA CITY,OK,73128,4059469966,1/28/2025,1/28/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-97.60637 35.45915)
24-64BGB-CR,FORDHAM CONSTRUCTION CO INC,NO DBA,Corporation,No,No,None Listed,1569 ROUTE 22,NOT APPLICABLE,BREWSTER,NY,10509,9345004841,12/15/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No,POINT (-73.57791 41.42492)
25-64PQ7-CR,FOREMOST DEVELOPMENT LLC,NO DBA,LLC,No,No,None Listed,82 SEVEN OAKS LN,NOT APPLICABLE,BREWSTER,NY,10509,9149067469,1/12/2025,1/13/2027,Active,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.58893 41.37341)
25-64PXB-CR,FOREMOST ELECTRIC CORPORATION,NO DBA,Corporation,No,No,None Listed,82 SEVEN OAKS LN,NOT APPLICABLE,BREWSTER,NY,10509,9149067469,1/12/2025,1/13/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.58893 41.37341)
24-64BC1-CR,FOREST ELECTRIC CORP,NO DBA,Corporation,No,No,None Listed,1375 BROADWAY,FLOOR 7,NEW YORK,NY,10018,2123181500,12/16/2024,12/16/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.98743 40.75244)
25-64UI3-CR,FOREST M DUCKETT,AA EXCAVATION,Sole Proprietorship,No,No,None Listed,1 CATHERINE ST,NOT APPLICABLE,GANSEVOORT,NY,12831,5187610753,1/30/2025,1/30/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.65233 43.19683)
25-64P58-CR,FORESTRY INC,FORESTRY INC,Corporation,No,No,None Listed,209 RUSTIC RD,NOT APPLICABLE,RONKONKOMA,NY,11779,6316563341,1/13/2025,1/13/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.09056 40.84051)
25-64TYV-CR,FORGE SIGNWORKS LLC,NO DBA,LLC,No,No,None Listed,1115 GLOBE AVE,NOT APPLICABLE,MOUNTAINSIDE,NJ,07092,7327511818,1/22/2025,1/22/2027,Active,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,No,Yes,No,POINT (-74.33825 40.67999)
24-64FEG-CR,FORMATION CONCRETE  GENERAL CONSTRUCTION INC,NO DBA,LLC,No,No,None Listed,37 RICE CT,NOT APPLICABLE,MEDFORD,NY,11763,6316896809,12/21/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-72.96133 40.81926)
24-635YA-CR,FORNO ENTERPRISES INC,NO DBA,Corporation,No,No,None Listed,PO BOX 220,NOT APPLICABLE,TROUT CREEK,NY,13847,6078657860,12/3/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,Unknown
25-64ZXF-CR,FORRESTER FENCE CO INC,NO DBA,Corporation,Yes,No,None Listed,482 CHESTER ST,NOT APPLICABLE,BROOKLYN,NY,11212,7183854915,2/11/2025,2/11/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.90914 40.65973)
24-64GLB-CR,FORSE EXCAVATION INC,FORSE EXCAVATION INC,Corporation,No,No,None Listed,244 STATE ROUTE 96,NOT APPLICABLE,OWEGO,NY,13827,6079723077,12/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.28803 42.14078)
24-63Z48-CR,FORSYTHE PLUMBING  HEATING CORPORATION,NO DBA,Corporation,No,No,None Listed,PO BOX 560244,1424 118 STREET,COLLEGE POINT,NY,11356,7189616464,11/20/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,Unknown
25-64JZ9-CR,FORT CONSTRUCTION CORP,NO DBA,Corporation,Yes,No,None Listed,51B BRIGHTON 10TH CT,NOT APPLICABLE,BROOKLYN,NY,11235,7185024952,1/2/2025,1/2/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.95818 40.58157)
24-636QH-CR,FORTE CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,1770 MOTOR PKWY,NOT APPLICABLE,ISLANDIA,NY,11749,6315898600,12/10/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,Yes,No,Yes,Yes,No,POINT (-73.16781 40.8132)
24-64RIK-CR,FORTH SPORT FLOORS INC,FORTH SPORT FLOORS INC,Corporation,No,No,None Listed,PO BOX 74,NOT APPLICABLE,EAST GREENBUSH,NY,12061,5184774063,12/20/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,Yes,State Law,New York,2/28/2012,10/1/2017,Yes,No,No,No,No,Yes,No,Unknown
24-635RE-CR,FORTUNATO SONS CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,630 JOHNSON AVE,SUITE 101,BOHEMIA,NY,11716,6315677200,12/3/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.09703 40.78045)
24-64GGB-CR,FORUM SERVICES GROUP INC,NO DBA,LLC,No,No,None Listed,550 SEVENTH AVE,21ST FLOOR,NEW YORK,NY,10018,2126874050,12/24/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.98814 40.75431)
24-635EO-CR,FOS DEVELOPMENT CORP,NO DBA,Corporation,No,No,None Listed,1 HOLLOW LN,SUITE 309,LAKE SUCCESS,NY,11042,7182041901,12/3/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.69546 40.76595)
25-64VUL-CR,FOSSATI PLUMBING  HEATING LLC,NO DBA,LLP,Yes,No,None Listed,3881 DANBURY RD,SUITE C,BREWSTER,NY,10509,8452780030,1/7/2025,1/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.55506 41.38639)
24-639CT-CR,FOURCAIRE INC,FOURCAIRE INC,Corporation,No,No,None Listed,335 PUMPKIN HL RD,NOT APPLICABLE,POTSDAM,NY,13676,3152659228,12/11/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.93365 44.61687)
25-64CGU-CR,FOUR DAUGHTERS LLC,NO DBA,LLC,No,No,None Listed,3836 11 ST,NOT APPLICABLE,LONG ISLAND CITY,NY,11101,7183910440,1/8/2025,1/8/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.94251 40.7575)
24-64DY3-CR,FOUR SEASONS TRAFFIC CONTROL LLC,NO DBA,LLC,No,No,None Listed,615 RT 31,NOT APPLICABLE,POULTNEY,VT,05764,8024176143,12/17/2024,12/29/2026,Active,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.23475 43.5081)
24-63HEK-CR,FOURTH AVENUE MERCHANTS INC,BROWN  BROWN DEVELOPMENT  CONSTRUCTION GROUP,Corporation,Yes,No,None Listed,26109 HILLSIDE AVE,NOT APPLICABLE,FLORAL PARK,NY,11004,9178533253,12/5/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.70702 40.73761)
24-636U9-CR,FOURTH COAST INC,NO DBA,Corporation,Yes,No,None Listed,745 GRAVES ST,NOT APPLICABLE,CLAYTON,NY,13624,3154087443,12/10/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.07899 44.23576)
25-64UJ4-CR,FOUR WINDS MASONRY AND CHIMNEY LLC,FOUR WINDS MASONRY AND CHIMNEY LLC,LLC,No,No,None Listed,10 EDYTH ST,SUITE 2A,EAST ROCHESTER,NY,14445,5857271174,1/29/2025,1/29/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.50124 43.11824)
24-63AGX-CR,FOX BUILDING GROUP INC,NO DBA,Corporation,No,No,None Listed,8837 BREWERTON RD,NOT APPLICABLE,BREWERTON,NY,13029,3156991800,11/21/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No,POINT (-76.1277 43.19724)
24-64DVC-CR,FOX FENCE INC,NO DBA,Corporation,No,No,None Listed,2637 LOCKPORT RD,NOT APPLICABLE,NIAGARA FALLS,NY,14305,7162604555,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-79.03094 43.11457)
24-637AP-CR,FPI MECHANICAL INC,NO DBA,Corporation,No,No,None Listed,1 ST ANDREWS DR,NOT APPLICABLE,QUEENSBURY,NY,12804,5187837066,12/9/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.66993 43.34448)
25-64CFP-CR,FRAMAN MECHANICAL INC,NO DBA,Corporation,No,No,None Listed,259 NEW BRUNSWICK AVE,NOT APPLICABLE,FORDS,NJ,08863,7326610001,1/8/2025,1/8/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.30132 40.52538)
24-64EEL-CR,FRANCESCO FRANZESE,FRANK FRANZESE CONTRACTING,Sole Proprietorship,No,No,None Listed,3075 GAINES BASIN RD,NOT APPLICABLE,ALBION,NY,14411,5857273561,12/30/2024,12/30/2026,Active,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.2231 43.26667)
24-63H79-CR,FRANCIS GARRETT CORP,OVERHEAD DOOR COMPANY OF WATERTOWN,Corporation,No,No,None Listed,25223 NYS ROUTE 3,NOT APPLICABLE,WATERTOWN,NY,13601,3157884390,12/6/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.86552 43.98316)
25-64VCD-CR,FRANCIS J ROONEY,DBA EAST END ENVIRONMENTAL SERVICES,Sole Proprietorship,No,No,None Listed,27 OCEAN AVE,NOT APPLICABLE,MASTIC,NY,11950,6317443400,1/7/2025,1/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-72.83202 40.79644)
25-64QKX-CR,FRANCIS LEVI TUCKER III,TUCKERS TREE CARE,Sole Proprietorship,No,No,None Listed,53 CORTLAND ST,APT B,NORWICH,NY,13815,6073738280,1/14/2025,1/14/2027,Active,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.52953 42.53427)
25-64VIT-CR,FRANCO BELLI PLUMBING AND HEATING AND SONS INC,NO DBA,Corporation,No,No,None Listed,165 2ND AVE,NOT APPLICABLE,BROOKLYN,NY,11215,7189654976,1/7/2025,1/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No,POINT (-73.99549 40.67007)
25-64PXY-CR,FRANCOS TRUCKING SERVICE LLC,FRANCOS TRUCKING SERVICES,LLC,No,No,None Listed,1442 QUAIL CRK TRL,NOT APPLICABLE,WEBSTER,NY,14580,5857467112,1/12/2025,1/13/2027,Active,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-64RGV-CR,FRANDINA ENGINEERING AND LAND SURVEYING PC,NO DBA,Corporation,Yes,No,None Listed,1701 HERTEL AVE,NOT APPLICABLE,BUFFALO,NY,14216,7168649401,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.84506 42.94762)
24-64NSU-CR,FRANK J RYAN  SONS INC,NO DBA,Corporation,No,No,None Listed,295 1ST ST,NOT APPLICABLE,TROY,NY,12180,5182746871,12/17/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No,POINT (-73.69541 42.71957)
24-63Z46-CR,FRANK LILL  SON INC,NO DBA,Corporation,No,No,None Listed,785 OLD DUTCH RD,NOT APPLICABLE,VICTOR,NY,14564,5852650490,11/20/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.48087 43.00386)
24-64855-CR,FRANK MARANDO LANDSCAPE INC,MARANDO LANDSCAPE,Corporation,No,No,None Listed,1108 131ST ST,NOT APPLICABLE,COLLEGE POINT,NY,11356,7184613200,12/30/2024,12/30/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.83736 40.78747)
24-633F1-CR,FRANK P KANE CONSTRUCTION INC,F P KANE CONSTRUCTION INC,Corporation,No,No,None Listed,241 FRONT ST,NOT APPLICABLE,VESTAL,NY,13850,6077546306,11/25/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.05842 42.08391)
24-648AL-CR,FRANK P LANGLEY CO INC,NO DBA,Corporation,No,No,None Listed,219 CREEKSIDE DR,NOT APPLICABLE,AMHERST,NY,14228,7166917575,12/29/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.81256 43.03058)
25-64SIB-CR,FRANK ROBUSTELLO  SON INC,FRANK ROBUSTELLO SON INC,Corporation,No,No,None Listed,134 HAMILTON RD,NOT APPLICABLE,ROCKVILLE CENTRE,NY,11570,5167663500,2/7/2025,2/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.63259 40.669)
25-64KYK-CR,FRANK SCOBBO CONTRACTORS INC,NO DBA,Corporation,No,No,None Listed,2 JEANNETTE DR,NOT APPLICABLE,PORT WASHINGTON,NY,11050,5169447154,1/3/2025,1/3/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.68684 40.83548)
25-6417Q-CR,FRANKS FLOORING LLC,NO DBA,LLC,No,No,None Listed,PO BOX 37,NOT APPLICABLE,KILL BUCK,NY,14748,7168010040,1/28/2025,1/28/2027,Active,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-64R7V-CR,FRATCO CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,273 WALT WHITMAN RD,SUITE 248,HUNTINGTON STATION,NY,11746,5167902148,12/20/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.41175 40.81851)
24-64RHZ-CR,FRATELLO CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,134 MILBAR BLVD,NOT APPLICABLE,FARMINGDALE,NY,11735,6314147171,12/20/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.41714 40.74968)
24-639CY-CR,FRATTO CURBING LLC,NO DBA,LLC,No,No,None Listed,2500 STATE,ROUTE 14,GENEVA,NY,14456,3157198884,12/11/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-634FI-CR,FRAZIERS LANDSCAPES INC,TRACK  FIELD INSTALLERS,Corporation,No,No,None Listed,PO BOX 601,NOT APPLICABLE,ONEONTA,NY,13820,6074328316,11/29/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-64DT5-CR,FRED A COOK JR INC,NO DBA,Corporation,No,No,None Listed,PO BOX 70,NOT APPLICABLE,MONTROSE,NY,10548,9147393300,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
25-64P3F-CR,FREDANTE CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,18 WOODLEE RD,NOT APPLICABLE,COLD SPRING HARBOR,NY,11724,5165269984,1/13/2025,1/13/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.45181 40.84985)
24-64DX5-CR,FRED A NUDD CORPORATION,NO DBA,Corporation,No,No,None Listed,PO BOX 577,NOT APPLICABLE,ONTARIO,NY,14519,3155242531,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-63SU4-CR,FRED BURROWS TRUCKING AND EXCAVATING LLC,NO DBA,LLC,No,No,None Listed,437 ORISKANY BLVD,NOT APPLICABLE,WHITESBORO,NY,13492,3157361971,11/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.30604 43.14084)
25-64TAE-CR,FREDERICK J  JAMES S MURPHY INC,MURPHY BROTHERS CONTRACTING,Corporation,No,No,None Listed,5 MURPHY WAY,NOT APPLICABLE,AUBURN,NY,13021,3157845803,1/24/2025,1/24/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.46496 42.86155)
25-64X1H-CR,FREDERICO CONSTRUCTION  DEVELOPMENT LLC,FREDERICO CONSTRUCTION  DEVELOPMENT LLC,LLC,No,No,None Listed,1017 CHILI AVE,NOT APPLICABLE,ROCHESTER,NY,14611,5855633578,1/17/2025,1/17/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.66319 43.14085)
24-636DX-CR,FREDERICO DEMOLITION LLC,NO DBA,LLC,No,No,None Listed,1005 CHILI AVE,SUITE 2,ROCHESTER,NY,14611,5855633567,12/10/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No,POINT (-77.66241 43.13873)
25-64CGE-CR,FRED GELLER ELECTRICAL INC,NO DBA,Corporation,No,No,None Listed,3732 55TH ST,NOT APPLICABLE,WOODSIDE,NY,11377,7183503900,1/8/2025,1/8/2027,Active,Yes,Not Applicable,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.90741 40.74993)
